pais;capital;poblacion
Colombia;Bogotá;45878000
Comoras;Moroni;862000
Corea Del Norte;Pyongyang;25694000
Corea Del Sur;Seúl;51843000
Costa De Marfil;Yamusukro, Abiyán;25825000
Costa Rica;San José;5032000
Croacia;Zagreb;4080000
Cuba;La Habana;11212000
